claim_id,document_id,section,claim_summary,source_key,support_type,claim_grade,causal_class,within_person_valid,product_level,evidence_measurement,product_measurement,verification_status,verified_date,notes
R-01,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-01","Shorter sleep duration has been observed alongside higher resting heart rate over 0-1 day.",SLEEP-RESTRICT-HR-2023,direct,C,association,yes,2,moderate,no,revision_complete_pending_review,2026-08-17,"Max level 2. Male-only narrow lab source. Input not gated."
R-02,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-02","Shorter sleep has been observed alongside reduced Apple SDNN; evidence is weaker for SDNN than RMSSD.",SD-HRV-META-2025,partial,C-,association,conditional,2,high,no,revision_complete_pending_review,2026-08-17,"High transfer risk. Cannot exceed Level 2. Evidence contextualization forbidden for SDNN."
R-02,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-02","Apple SDNN must not inherit ECG normative cutoffs without qualification.",Shaffer-2017,context,C-,association,conditional,2,high,no,revision_complete_pending_review,2026-08-17,"Metric-definition support only for R-02."
R-03,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-03","Acute training load is associated with reduced HRV over 0-2 days; HRV rise under load triggers mandatory contradiction suppression.",Bellenger-2016-HR-TRAINING,direct,B,association,yes,2,moderate,no,revision_complete_pending_review,2026-08-17,"Mandatory contradiction suppression when HRV rises with load. Max level 2."
R-04,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-04","Acute training load is associated with elevated resting heart rate over 0-2 days.",Bellenger-2016-HR-TRAINING,partial,C,association,yes,2,moderate,no,revision_complete_pending_review,2026-08-17,"Evidence thinner for RHR than HRV in source. Max level 2."
R-05,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-05","Sustained aerobic exercise consistency is associated with lower resting heart rate over 6-12 weeks.",Reimers-2018-RHR,direct,A,adaptation,conditional,4,moderate,yes,revision_complete_pending_review,2026-08-17,"Level-4 eligible. Age and baseline RHR modify expected magnitude."
R-05,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-05","Activity guidance context for aerobic consistency and resting heart rate.",ACSM-GETP12,context,A,adaptation,conditional,4,moderate,yes,revision_complete_pending_review,2026-08-17,"Guideline context only; page verification required on ACSM source."
R-05,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-05","Population activity dosing context for aerobic consistency and resting heart rate.",WHO-PA-2020,context,A,adaptation,conditional,4,moderate,yes,revision_complete_pending_review,2026-08-17,"Activity dosing context only."
R-06,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-06","Sustained aerobic consistency is associated with higher estimated cardio fitness over 8-12 weeks, but outcome is a derived estimate.",ACSM-GETP12,context,B,association,conditional,3,high,no,revision_complete_pending_review,2026-08-17,"High transfer risk. Max level 3. Must not generate recommendations."
R-06,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-06","Population activity guidance context for training and cardiorespiratory fitness.",WHO-PA-2020,context,B,association,conditional,3,high,no,revision_complete_pending_review,2026-08-17,"Measured VO2 context only; not wrist estimate."
R-07,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-07","Later or higher caffeine intake is associated with shorter and less efficient sleep the same night.",Gardiner-2023-CAF-SLEEP,direct,A,association,yes,4,moderate,yes,revision_complete_pending_review,2026-08-17,"Level-4 eligible. Inactive unless user-entered caffeine input is available."
R-08,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-08","Alcohol intake is associated with reduced sleep efficiency and next-morning autonomic changes; low-dose inconsistency requires suppression.",Ralevski-2019-ALC-HRV,partial,C,association,yes,2,moderate,no,revision_complete_pending_review,2026-08-17,"Cannot generate alcohol advice. Max level 2. Inactive unless user-entered alcohol input is available."
R-08,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-08","Laboratory dose-response evidence for alcohol and autonomic indices.",Spaak-2010-ALC-DOSE,partial,C,association,yes,2,moderate,no,revision_complete_pending_review,2026-08-17,"Supports low-dose suppression rule for R-08."
R-09,healthcoach_correlation_modeling,"5. ACTIVE relationship catalogue / R-09","Cycle phase modifies autonomic readings and suppresses false recovery-decline insights; never a standalone correlation insight.",Schmalenberger-2019-CYCLE-CVA,direct,B,modifier,conditional,3,moderate,no,revision_complete_pending_review,2026-08-17,"Modifier/suppressor only. Inactive unless user-entered cycle phase is available."
